Das Geld der Welt: Die Alte Welt - Eurasien;Regal 1;Ebene 7;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Star Wars The Clone Wars Band 4: Taloraans Windräuber;Regal 2;Ebene 8;John Ostrander;The Clone Wars-Comicreihe;100;2011
Star Wars The Clone Wars Band 5: Der Koloss des Schicksals;Regal 2;Ebene 8;Jeremy Barlow;The Clone Wars-Comicreihe;100;2012
Star Wars The Clone Wars Band 6: Schlacht um Khorm;Regal 2;Ebene 8;Steven Melching & Henry Gilroy;The Clone Wars-Comicreihe;100;2012
Star Wars The Clone Wars Band 7: Die tödlichen Hände von Shon-Ju;Regal 2;Ebene 8;Jeremy Barlow;The Clone Wars-Comicreihe;100;2012
Star Wars The Clone Wars Band 8: Die Kanonen von Nar Hekka ;Regal 2;Ebene 8;Rik Hoskin, Tom de Falco & Robin Etherington;The Clone Wars-Comicreihe;100;2013
Star Wars The Clone Wars Band 9: Immer Ärger mit den Dugs;Regal 2;Ebene 8;Rik Hoskin, Tom de Falco & Robin Etherington;The Clone Wars-Comicreihe;100;2013
Star Wars The Clone Wars Band 10: Die Sternbrecher-Falle;Regal 2;Ebene 8;Mike W. Barr;The Clone Wars-Comicreihe;100;2013
Star Wars The Clone Wars Band 11: Seltsame Verbündete;Regal 2;Ebene 8;Ben Dewey;The Clone Wars-Comicreihe;100;2013
Star Wars The Clone Wars Band 12: Der Feind in den eigenen Reihen;Regal 2;Ebene 8;Jeremy Barlow;The Clone Wars-Comicreihe;80;2013
Star Wars The Clone Wars Band 13: Die Sith-Jäger;Regal 2;Ebene 8;Henry Gilroy & Steven Melching;The Clone Wars-Comicreihe;100;2014
Star Wars The Clone Wars Band 14: Tödlicher Droide;Regal 2;Ebene 8;Robin Etherington, Rik Hoskin & Tom DeFalco;The Clone Wars-Comicreihe;100;2014
Star Wars The Clone Wars Band 15: Verteidiger des verlorenen Tempels;Regal 2;Ebene 8;Justin Aclin;The Clone Wars-Comicreihe;100;2014
Star Wars The Clone Wars Band 16: Der Schmugglerkodex;Regal 2;Ebene 8;Justin Aclin;The Clone Wars-Comicreihe;100;2014
Star Wars The Clone Wars Band 17: Bane gegen Bane;Regal 2;Ebene 8;Tanya Roberts, Bob Molesworth, Luca Bertelè, Robin Etherington & Rik Hoskin;The Clone Wars-Comicreihe;100;2015
Star Wars Classics Band 1: Doomsworld;Regal 2;Ebene 8;Roy Thomas & Donald F. Glut;Star Wars Classics (1977);192;2008
Star Wars Classics Band 2: Das Imperium schlägt zu;Regal 2;Ebene 8;Archie Goodwin & Chris Claremont;Star Wars Classics (1978);185;2009
Star Wars Classics Band 3: Der Schatten des dunklen Lords;Regal 2;Ebene 8;Archie Goodwin;Star Wars Classics (1978);192;2009
Star Wars Classics Band 4: Das Bauernopfer des dunklen Lords;Regal 2;Ebene 8;Archie Goodwin, Chris Claremont & Michael Golden;Star Wars Classics (1979);192;2010
Star Wars Classics Band 5: Die Wiedergeburt des Bösen;Regal 2;Ebene 8;Archie Goodwin & Wally Lombego;Star Wars Classics (1979);184;2010
Star Wars Classics Band 6: Die Wiedergeburt des Bösen II;Regal 2;Ebene 8;Archie Goodwin, Mike W. Barr, Larry Hama, David Michelinie &  Chris Claremont;Star Wars Classics (1980);160;2011
Star Wars Classics Band 7: Schreie im Nichts, Teil 1;Regal 2;Ebene 8;Chris Claremont, David Micheline, Louise Jones & Tom Palmer;Star Wars Classics (1980);184;2011
Star Wars Classics Band 8: Schreie im Nichts, Teil 2;Regal 2;Ebene 8;David Micheline, Walter Simonson & Michael Fleisher;Star Wars Classics (1981);176;2012
Star Wars Classics Band 9: Kopfgeld, Teil 1;Regal 2;Ebene 8;David Micheline & Mary Jo Duffy;Star Wars Classics (1981);176;2012
Star Wars Classics Band 10: Kopfgeld, Teil 2;Regal 2;Ebene 8;David Micheline & Mary Jo Duffy;Star Wars Classics (1982);176;2013
Star Wars Classics Band 11: Die Rückkehr;Regal 2;Ebene 8;Archie Goodwin, Mary Jo Duffy & Linda Grant;Star Wars Classics (1982);176;2013
Star Wars Classics Band 12: Eine neue Ordnung: Planet der Jäger;Regal 2;Ebene 8;Roy Richardson, Mary Jo Duffy, Randy Stradley & Ann Nocenti;Star Wars Classics (1983);176;2014
Star Wars Ewoks: Die Schatten von Endor;Regal 2;Ebene 8;Zack Giallongo;Star Wars Sonderbände (Legends);84;2015
Star Wars Rebels Band 1: Widerstand;Regal 2;Ebene 8;Jeremy Barlow & Martin Fisher;Star Wars Rebels (Comics);108;2016
Star Wars Rebels Band 2: Veränderungen;Regal 2;Ebene 8;Martin Fisher;Star Wars Rebels (Comics);108;2016
